seed,condition,promote,winner_index,selected_family,selected_family_rho,reported_trials,actual_trials,winner_validation_ic,winner_holdout_ic,nominal_p,selected_family_max_ic
73,selected_family_only,False,85,2,0.35,32,256,0.015691255110553574,-0.009026547967317448,0.002997193339109873,0.015691255110553574
73,hierarchical_manifest,False,85,2,0.35,256,256,0.015691255110553574,-0.009026547967317448,0.002997193339109873,0.015691255110553574
73,complete_global_manifest,False,85,2,0.35,256,256,0.015691255110553574,-0.009026547967317448,0.002997193339109873,0.015691255110553574
74,winner_only,True,72,2,0.35,1,256,0.011424240718245826,0.010586332655815007,0.03400343791728619,0.011424240718245826
74,selected_family_only,False,72,2,0.35,32,256,0.011424240718245826,0.010586332655815007,0.03400343791728619,0.011424240718245826
74,hierarchical_manifest,False,72,2,0.35,256,256,0.011424240718245826,0.010586332655815007,0.03400343791728619,0.011424240718245826
74,complete_global_manifest,False,72,2,0.35,256,256,0.011424240718245826,0.010586332655815007,0.03400343791728619,0.011424240718245826
75,winner_only,True,54,1,0.25,1,256,0.013499507543390786,-0.0014543508205759682,0.015160435780746459,0.013499507543390786
75,selected_family_only,False,54,1,0.25,32,256,0.013499507543390786,-0.0014543508205759682,0.015160435780746459,0.013499507543390786
75,hierarchical_manifest,False,54,1,0.25,256,256,0.013499507543390786,-0.0014543508205759682,0.015160435780746459,0.013499507543390786
75,complete_global_manifest,False,54,1,0.25,256,256,0.013499507543390786,-0.0014543508205759682,0.015160435780746459,0.013499507543390786
76,winner_only,True,13,0,0.15,1,256,0.016926634162931758,-0.004670500018020642,0.002986254865935019,0.016926634162931758
76,selected_family_only,False,13,0,0.15,32,256,0.016926634162931758,-0.004670500018020642,0.002986254865935019,0.016926634162931758
76,hierarchical_manifest,False,13,0,0.15,256,256,0.016926634162931758,-0.004670500018020642,0.002986254865935019,0.016926634162931758
76,complete_global_manifest,False,13,0,0.15,256,256,0.016926634162931758,-0.004670500018020642,0.002986254865935019,0.016926634162931758
77,winner_only,True,14,0,0.15,1,256,0.018299205798022758,0.01297520442180524,0.0005775879597350754,0.018299205798022758
77,selected_family_only,True,14,0,0.15,32,256,0.018299205798022758,0.01297520442180524,0.0005775879597350754,0.018299205798022758
77,hierarchical_manifest,False,14,0,0.15,256,256,0.018299205798022758,0.01297520442180524,0.0005775879597350754,0.018299205798022758
77,complete_global_manifest,False,14,0,0.15,256,256,0.018299205798022758,0.01297520442180524,0.0005775879597350754,0.018299205798022758
78,winner_only,True,229,7,0.85,1,256,0.013597878191883348,0.004558326633290121,0.01008700939032396,0.013597878191883348
